year,sector,epi_sector,epi_sector_norm
1971,manufacturing,17.607293550331526,1.3387083829062851
1972,manufacturing,17.4136690647482,1.3239868289522172
1973,manufacturing,17.22212283840191,1.3094232880996246
1974,manufacturing,17.032621589561092,1.2950152298895863
1975,manufacturing,16.845132743362832,1.280760177607442
1976,manufacturing,16.65962441314554,1.2666557068634894
1977,manufacturing,16.47606538237011,1.2526994442184223
1978,manufacturing,16.294425087108014,1.2388890658518754
1979,manufacturing,16.11467359907568,1.2252222962725021
1980,manufacturing,15.936781609195402,1.2116969070680879
1981,manufacturing,15.693562231759657,1.1932045806621168
1982,manufacturing,15.452421652421652,1.1748703083279917
1983,manufacturing,15.213333333333333,1.1566920723541567
1984,manufacturing,14.976271186440677,1.138667889227558
1985,manufacturing,14.741209563994374,1.120795808912154
1986,manufacturing,14.50812324929972,1.103073914145619
1987,manufacturing,14.276987447698744,1.0855003197536992
1988,manufacturing,14.047777777777776,1.0680731719817123
1989,manufacturing,13.820470262793915,1.0507906478426878
1990,manufacturing,13.59504132231405,1.0336509544816719
1991,manufacturing,13.456217403239089,1.0230959680675302
1992,manufacturing,13.318380743982495,1.0126160444670558
1993,manufacturing,13.18152085036795,1.0022103857926137
1994,manufacturing,13.045627376425855,0.9918782054249438
1995,manufacturing,12.910690121786198,0.9816187278149355
1996,manufacturing,12.776699029126213,0.9714311882895712
1997,manufacturing,12.643644181671593,0.9613148328619386
1998,manufacturing,12.511515800749866,0.9512689180452107
1999,manufacturing,12.380304243394717,0.9412927106704994
2000,manufacturing,12.25,0.9313854877084852
2001,manufacturing,12.14564404061999,0.9234511508821638
2002,manufacturing,12.040279269602578,0.9154401126257274
2003,manufacturing,11.933890987587697,0.907351255325246
2004,manufacturing,11.826464208242951,0.8991834395478616
2005,manufacturing,11.717983651226158,0.8909355035067209
2006,manufacturing,11.608433734939759,0.8826062625100816
2007,manufacturing,11.497798569069895,0.8741945083940479
2008,manufacturing,11.386061946902654,0.8656990089383635
2009,manufacturing,11.273207337409673,0.8571185072646679
2010,manufacturing,11.159217877094973,0.8484517212165998
2011,manufacturing,11.089887640449438,0.8431804415210042
2012,manufacturing,11.019774011299436,0.8378495993429727
2013,manufacturing,10.948863636363635,0.8324581794129178
2014,manufacturing,10.877142857142857,0.8270051432550911
2015,manufacturing,10.804597701149426,0.8214894285207376
2016,manufacturing,10.73121387283237,0.8159099482981257
2017,manufacturing,10.656976744186046,0.8102655903985065
2018,manufacturing,10.581871345029239,0.8045552166170206
2019,manufacturing,10.505882352941176,0.7987776619675172
2020,manufacturing,10.428994082840237,0.792931733890209
2021,manufacturing,10.287819901737919,0.7821980536030393
2022,manufacturing,10.14751000913318,0.7715300864394483
2023,manufacturing,10.008066372116932,0.7609279819602465
1971,services,17.326326100060278,1.3387083829062851
1972,services,17.135791366906474,1.3239868289522174
1973,services,16.947301729278472,1.3094232880996246
